Timestamp,Name (Optional),Education,Age Group,Gender,Tick the Social networking apps/Websites you use on regular basis ,Preferred mode of Entertainment,How much time do you spend on Social media and Online Entertainment every day?,Tick your most preferred Websites for online shopping,Do you prefer Online shopping over Offline shopping?,How often do you shop online?,Preferred mode of Payment (Online & Offline),Total money spent in one purchase in Rupees (Online & Offline),Age_Group
2018/10/01 4:17:15 PM GMT+5:30,DK,Pursuing Bachelors,18 - 24,Female,Facebook;Whatsapp;Instagram;Twitter;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Flipkart,Yes,"Only on Special Occasions (eg. Birthdays, Anniversaries, etc)",Debit Card,1000 - 3000,21
2018/10/01 5:49:45 PM GMT+5:30,Izuku Midoriya,Pursuing Bachelors,18 - 24,Male,Whatsapp;LinkedIn;Quora,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",30 mins - 1 hour,Amazon;Flipkart;Myntra;Shein,Yes,During Sale/Discounts Seasons,COD - Cash On Delivery for Online shopping,1000 - 3000,21
2018/10/01 5:51:22 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Male,Facebook;Whatsapp;Instagram;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Flipkart,Yes,Frequently,COD - Cash On Delivery for Online shopping,500 - 1000,21
2018/10/01 5:52:47 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Female,Facebook;Whatsapp;Instagram;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Flipkart;TataCliq,No,Very Rarely,Net Banking,1000 - 3000,21
2018/10/01 6:03:32 PM GMT+5:30,Sandesh ,Graduated,25 - 34,Male,Facebook;Whatsapp;Telegram;Quora,Offline - Cable TV or Cinema hall,2 - 5 hours,Amazon;Flipkart,Yes,During Sale/Discounts Seasons,Credit Card,500 - 1000,29.5
2018/10/01 6:07:26 PM GMT+5:30,Leena Koppikar,Graduated,45 - 54,Female,Facebook;Whatsapp,Offline - Cable TV or Cinema hall,Below 30 mins,Amazon,No,Very Rarely,Cash payment,1000 - 3000,49.5
2018/10/01 6:18:52 PM GMT+5:30,Namrata Koppikar,Below 10th Class,Under 18,Female,None of the above,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",Below 30 mins,Amazon,Yes,During Sale/Discounts Seasons,Credit Card,1000 - 3000,9
2018/10/01 6:23:45 PM GMT+5:30,Sanika,Pursuing Bachelors,18 - 24,Female,Whatsapp;Instagram;Snapchat;LinkedIn;Telegram,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",30 mins - 1 hour,Amazon;Ajio,No,Very Rarely,Cash payment,Below 500,21
2018/10/01 6:32:25 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Female,Whatsapp;Instagram;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Flipkart;Shein,Yes,"Only on Special Occasions (eg. Birthdays, Anniversaries, etc)",COD - Cash On Delivery for Online shopping,1000 - 3000,21
2018/10/01 6:37:20 PM GMT+5:30,,Graduated,45 - 54,Female,Whatsapp,Offline - Cable TV or Cinema hall,Below 30 mins,None of the above,No,Never,Debit Card,500 - 1000,49.5
2018/10/01 6:41:59 PM GMT+5:30,Divya,Graduated,18 - 24,Female,Whatsapp;Instagram;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",30 mins - 1 hour,Amazon,No,During Sale/Discounts Seasons,Debit Card,500 - 1000,21
2018/10/01 6:48:51 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Male,Facebook;Whatsapp;Instagram;Twitter,Offline - Cable TV or Cinema hall,1 - 2 hours,Amazon,No,Very Rarely,Cash payment,3000 - 5000,21
2018/10/01 7:01:56 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Female,Facebook;Whatsapp,Offline - Cable TV or Cinema hall,2 - 5 hours,Amazon;Flipkart,No,During Sale/Discounts Seasons,Credit Card,500 - 1000,21
2018/10/01 7:05:11 PM GMT+5:30,Varad Mhapsekar,Graduated,18 - 24,Male,Facebook;Whatsapp;Instagram;Twitter,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",2 - 5 hours,Amazon;Flipkart;Myntra;Jabong,Yes,During Sale/Discounts Seasons,"Digital Wallets like paytm, jiomoney, olamoney",Above 5000,21
2018/10/01 7:12:21 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Female,Facebook;Whatsapp;Instagram;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon,Yes,Frequently,COD - Cash On Delivery for Online shopping,500 - 1000,21
2018/10/01 7:13:42 PM GMT+5:30,Nidhi,Pursuing Bachelors,Under 18,Female,Facebook;Whatsapp;Instagram;Snapchat;Quora,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",2 - 5 hours,Amazon,Yes,During Sale/Discounts Seasons,Cash payment,500 - 1000,9
2018/10/01 7:29:20 PM GMT+5:30,Sanika ,Pursuing Bachelors,18 - 24,Female,Facebook;Whatsapp;Instagram;LinkedIn;Quora,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",2 - 5 hours,Flipkart,Yes,Very Rarely,COD - Cash On Delivery for Online shopping,500 - 1000,21
2018/10/01 7:32:37 PM GMT+5:30,,11th - 12th Class,45 - 54,Male,Facebook;Whatsapp,Offline - Cable TV or Cinema hall,Below 30 mins,None of the above,No,Very Rarely,Cash payment,1000 - 3000,49.5
2018/10/01 7:34:32 PM GMT+5:30,Devendra Koppikar ,Post-Graduated,45 - 54,Male,Whatsapp;LinkedIn,Offline - Cable TV or Cinema hall,1 - 2 hours,Amazon;Flipkart,Yes,Very Rarely,Credit Card,3000 - 5000,49.5
2018/10/01 7:36:35 PM GMT+5:30,,Graduated,35 - 44,Male,Facebook;Whatsapp;Instagram;LinkedIn,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",2 - 5 hours,Amazon,No,Very Rarely,Credit Card,1000 - 3000,39.5
2018/10/01 7:40:21 PM GMT+5:30,,Graduated,45 - 54,Male,Facebook;Whatsapp;Twitter,Offline - Cable TV or Cinema hall,30 mins - 1 hour,Flipkart;Myntra;Snapdeal;TataCliq,Yes,"Only on Special Occasions (eg. Birthdays, Anniversaries, etc)",COD - Cash On Delivery for Online shopping,1000 - 3000,49.5
2018/10/01 7:48:06 PM GMT+5:30,,11th - 12th Class,35 - 44,Male,Facebook;Whatsapp;LinkedIn;Quora,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Myntra,Yes,"Only on Special Occasions (eg. Birthdays, Anniversaries, etc)",Debit Card,Above 5000,39.5
2018/10/01 7:49:28 PM GMT+5:30,,Above Master Degree,Above 55,Male,Facebook;Whatsapp;Tumblr;Instagram;LinkedIn;Quora,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",2 - 5 hours,Amazon,No,Very Rarely,Credit Card,1000 - 3000,67.5
2018/10/01 7:50:14 PM GMT+5:30,,Post-Graduated,25 - 34,Female,Facebook;Whatsapp;Instagram;LinkedIn,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,None of the above,No,Very Rarely,Cash payment,500 - 1000,29.5
2018/10/01 7:50:31 PM GMT+5:30,Darshan Narkar ,Post-Graduated,25 - 34,Male,Facebook;Whatsapp;Instagram;LinkedIn,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Flipkart;Myntra;Kooves & Zara,Yes,During Sale/Discounts Seasons,COD - Cash On Delivery for Online shopping,1000 - 3000,29.5
2018/10/01 7:51:48 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Female,Whatsapp;Instagram;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Myntra,No,Very Rarely,COD - Cash On Delivery for Online shopping,500 - 1000,21
2018/10/01 7:59:57 PM GMT+5:30,Durgesh narkar,Post-Graduated,25 - 34,Male,Facebook;Whatsapp,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",30 mins - 1 hour,Amazon;Flipkart;Myntra,Yes,During Sale/Discounts Seasons,Debit Card,1000 - 3000,29.5
2018/10/01 8:08:02 PM GMT+5:30,,Post-Graduated,25 - 34,Female,Facebook;Whatsapp;LinkedIn;Quora,None of the above,30 mins - 1 hour,None of the above,No,Never,COD - Cash On Delivery for Online shopping,1000 - 3000,29.5
2018/10/01 8:10:39 PM GMT+5:30,Rucha Nevgi,Graduated,35 - 44,Female,Facebook;Whatsapp,Offline - Cable TV or Cinema hall,30 mins - 1 hour,Amazon,No,Very Rarely,COD - Cash On Delivery for Online shopping,500 - 1000,39.5
2018/10/01 8:11:56 PM GMT+5:30,,Post-Graduated,35 - 44,Female,Facebook;Whatsapp;LinkedIn;Telegram,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon;Myntra,Yes,"Only on Special Occasions (eg. Birthdays, Anniversaries, etc)",Debit Card,Above 5000,39.5
2018/10/01 8:23:00 PM GMT+5:30,,Pursuing Bachelors,18 - 24,Male,Facebook;Whatsapp;Instagram;Snapchat,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,None of the above,No,Very Rarely,Cash payment,500 - 1000,21
2018/10/01 8:26:35 PM GMT+5:30,Suresh mhapsekar,Graduated,Above 55,Male,Facebook;Whatsapp,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",30 mins - 1 hour,Amazon,Yes,Frequently,Debit Card,Above 5000,67.5
2018/10/01 8:27:35 PM GMT+5:30,Ravindra,Graduated,45 - 54,Male,Facebook;Whatsapp,Offline - Cable TV or Cinema hall,30 mins - 1 hour,Amazon;Flipkart,No,Very Rarely,COD - Cash On Delivery for Online shopping,1000 - 3000,49.5
2018/10/01 8:28:03 PM GMT+5:30,Priya,Post-Graduated,45 - 54,Female,Facebook;Whatsapp,None of the above,1 - 2 hours,Amazon,No,During Sale/Discounts Seasons,COD - Cash On Delivery for Online shopping,1000 - 3000,49.5
2018/10/01 8:36:51 PM GMT+5:30,,Graduated,18 - 24,Female,Facebook;Whatsapp;Instagram,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",2 - 5 hours,Flipkart;Myntra,No,Very Rarely,Debit Card,500 - 1000,21
2018/10/01 8:38:51 PM GMT+5:30,,Graduated,45 - 54,Male,Whatsapp,Offline - Cable TV or Cinema hall,30 mins - 1 hour,None of the above,No,Very Rarely,Credit Card,Above 5000,49.5
2018/10/01 8:43:08 PM GMT+5:30,Gayatri,Graduated,25 - 34,Female,Facebook;Whatsapp,Offline - Cable TV or Cinema hall,2 - 5 hours,None of the above,No,Never,Cash payment,500 - 1000,29.5
2018/10/01 8:56:47 PM GMT+5:30,Sharmila Gokarn ,Graduated,45 - 54,Female,Facebook;Whatsapp;Instagram;LinkedIn,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon,No,Very Rarely,Credit Card,Above 5000,49.5
2018/10/01 8:57:12 PM GMT+5:30,Shibani Gokarn ,Graduated,25-34,Female,Facebook;Whatsapp;Instagram;LinkedIn,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",1 - 2 hours,Amazon,No,Very Rarely,Credit Card,1000 - 3000,29.5
2018/10/01 8:57:52 PM GMT+5:30,,Graduated,35 - 44,Female,Facebook;Whatsapp,Offline - Cable TV or Cinema hall,30 mins - 1 hour,Amazon;Myntra,Yes,Very Rarely,Debit Card,1000 - 3000,39.5
2018/10/01 9:01:50 PM GMT+5:30,,Pursuing Bachelors,35 - 44,Male,Whatsapp;LinkedIn,"Online - Mobile App or Websites like JioTv, Hotstar, Youtube, Netflix etc",30 mins - 1 hour,Amazon;Flipkart;eBay,No,Very Rarely,Credit Card,500 - 1000,39.5
